variant,ndcg,map,diversity,coverage,serendipity,avg_pnl,equity_final,equity_max_drawdown,llm_errors
ML-only,0.7537634301785783,0.6694444444444456,0.8488552888698895,1.0,,0.014194660828514612,39.590726008191524,-0.45850282244584917,0
LLM-only,0.7061448351071491,0.6061111111111109,0.9967916319816366,1.0,,0.003318400928455437,1.9895961158799822,-0.7847768044506347,91
Hybrid-full,0.7393579894523885,0.650000000000001,0.9237748695888051,1.0,0.043333333333333335,0.012527517520162613,25.17378281385967,-0.6382002787972638,107
